sector,avg_health_score,rank
Information Technology,83.51650234741784,1
Consumer Staples,79.34144007936509,2
Healthcare,71.5420423611111,3
Materials,64.23230070621469,4
Industrials,62.704855995203836,5
Consumer Discretionary,62.01190310734464,6
Communication Services,51.282774305555556,7
Energy,50.850170143149285,8
Real Estate,48.388761111111116,9
Financials,43.53338493699886,10
