id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,roe_score,npm_score,opm_score,de_score,interest_score,health_score_v2,health_band
654,JIOFIN,Mar 2024,86.52,84.0,1.15,0.0,198.8,0.0128,763.0,1441.0,3.0,2.1903,0.0,0,-678.0,0.9583333333333331,20.0,20.0,15.0,20.0,75.95833333333333,Good
696,LICI,Mar 2024,4.84,4.0,49.45,0.0,371.9375,0.1591,853.0,25269.0,66.0,1.3083,15.0,0,26122.0,25.0,3.872,3.2,15.0,20.0,67.072,Good
705,LODHA,Mar 2024,15.06,26.0,8.9,0.4407,5.6286,0.2186,-435.0,2947.0,16.0,1.7574,,7698,2512.0,7.416666666666667,12.048000000000002,20.0,11.69475,11.2572,62.41661666666667,Average
717,LT,Mar 2024,7.03,14.0,77.66999999999999,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071,18266.0,25.0,5.6240000000000006,11.2,14.22375,7.0884,63.13615000000001,Average
729,LTIM,Mar 2024,12.91,18.0,22.9,0.1035,31.9324,1.2895,1752.0,3918.0,155.0,66.7267,42.0,2071,5670.0,19.08333333333333,10.328,14.4,14.22375,20.0,78.03508333333333,Good
753,MARUTI,Mar 2024,9.51,13.0,15.75,0.0014,117.9072,1.2303,4936.0,11865.0,429.0,54.5452,29.0,119,16801.0,13.125,7.608,10.4,14.9895,20.0,66.1225,Good
777,NAUKRI,Mar 2024,23.46,28.0,1.97,0.0081,28.9714,0.0703,-150.0,852.0,44.0,23.4589,49.0,246,702.0,1.6416666666666666,18.768,20.0,14.93925,20.0,75.34891666666667,Good
789,NESTLEIND,Mar 2024,16.12,24.0,100.0,0.1033,41.1862,2.3182,2938.0,1237.0,41.0,3.4792,79.0,345,4175.0,25.0,12.896,19.200000000000003,14.22525,20.0,91.32125,Excellent
825,ONGC,Mar 2024,9.66,17.0,16.94,0.4544,11.3613,0.8332,42060.0,57203.0,39.0,5.3588,31.0,153181,99263.0,14.116666666666667,7.728000000000001,13.6,11.592,20.0,67.03666666666666,Good
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,17.31666666666667,11.288,17.6,14.6595,20.0,80.86416666666668,Excellent
969,SBILIFE,Mar 2024,1.43,0.0,12.7,0.0,240.3333,0.3314,-2099.0,31221.0,19.0,1.4893,14.0,0,29122.0,10.583333333333334,1.144,0.0,15.0,20.0,46.72733333333333,Weak
980,SHREECEM,Mar 2024,8.450000000000001,22.0,8.37,0.08,19.8256,0.7349,1929.0,1418.0,480.0,57.5083,16.0,1656,3347.0,6.975,6.760000000000002,17.6,14.4,20.0,65.735,Good
1016,SUNPHARMA,Mar 2024,19.82,28.0,15.09,0.0514,58.3319,0.5685,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0,12.575,15.856000000000002,20.0,14.6145,20.0,83.0455,Excellent
1028,TATACONSUM,Mar 2024,7.99,15.0,7.57,0.2165,25.3218,0.5454,26.0,1911.0,12.0,16.9021,64.0,3477,1937.0,6.308333333333334,6.392,12.0,13.37625,20.0,58.07658333333333,Average
1076,TCS,Mar 2024,19.14,27.0,50.94,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021,44338.0,25.0,15.312,20.0,14.3355,20.0,94.6475,Excellent
1099,TECHM,Mar 2024,4.61,9.0,8.99,0.0951,13.8597,1.205,5058.0,1318.0,24.0,6.0474,150.0,2537,6376.0,7.491666666666667,3.6880000000000006,7.2,14.28675,20.0,52.66641666666667,Average
1136,TRENT,Mar 2024,11.94,16.0,36.31,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,25.0,9.552,12.8,11.76825,16.087,75.20725,Good
1160,ULTRACEMCO,Mar 2024,9.88,18.0,11.63,0.1893,13.9835,0.7035,2109.0,8789.0,243.0,20.8401,29.0,11403,10898.0,9.691666666666668,7.904,14.4,13.58025,20.0,65.57591666666667,Good
1184,INDIGO,Mar 2024,11.85,16331.0,100.0,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,25.0,9.48,20.0,14.8605,20.0,89.3405,Excellent
